PERMNO,TICKER,COMNAM,PERMCO,gvkey
10104,ORCL,ORACLE CORP,8045,12142
10107,MSFT,MICROSOFT CORP,8048,12141
10138,TROW,T ROWE PRICE GROUP INC,8087,12138
10145,HON,HONEYWELL INTERNATIONAL INC,22168,1300
10516,ADM,ARCHER DANIELS MIDLAND CO,20207,1722
10696,FISV,FISERV INC,8598,12635
10909,CERN,CERNER CORP,8786,12850
11308,KO,COCA COLA CO,20468,3144
11403,CDNS,CADENCE DESIGN SYSTEMS INC,9245,13421
11404,ED,CONSOLIDATED EDISON INC,20499,3413
11600,XRAY,DENTSPLY SIRONA INC,9424,13700
11618,FAST,FASTENAL COMPANY,9440,14225
11674,DTE,D T E ENERGY CO,20574,3897
11762,ETN,EATON CORP PLC,20627,4199
11786,SIVB,S V B FINANCIAL GROUP,9588,17120
11850,XOM,EXXON MOBIL CORP,20678,4503
11891,MGM,M G M RESORTS INTERNATIONAL,9764,14418
11896,MXIM,MAXIM INTEGRATED PRODUCTS INC,9698,14256
11955,WM,WASTE MANAGEMENT INC DEL,9804,14477
12052,GD,GENERAL DYNAMICS CORP,20791,5046
12060,GE,GENERAL ELECTRIC CO,20792,5047
12062,LH,LABORATORY CORP AMERICA HLDGS,9848,14960
12073,PBCT,PEOPLES UNITED FINANCIAL INC,9847,16245
12308,CHTR,CHARTER COMMUNICATIONS INC NEW,17322,126136
12345,LYB,LYONDELLBASELL INDUSTRIES N V,53531,294524
12369,GM,GENERAL MOTORS CO,53554,5073
12431,IR,INGERSOLL RAND PLC,20977,5959
12448,FRC,FIRST REPUBLIC BANK S F NEW,53609,14275
12449,FLT,FLEETCOR TECHNOLOGIES INC,53610,184700
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,6066
12542,NLSN,NIELSEN HOLDINGS PLC,53656,100873
12558,KMI,KINDER MORGAN INC,53667,6310
12570,ITT,I T T INC,20964,5860
12622,HCA,H C A HEALTHCARE INC,53696,22260
12623,HII,HUNTINGTON INGALLS INDS INC,53697,186310
12650,KSU,KANSAS CITY SOUTHERN,21033,6335
12872,MPC,MARATHON PETROLEUM CORP,53810,186989
12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,53876,188255
13035,XYL,XYLEM INC,53896,189491
13103,APTV,APTIV PLC,53927,118122
13356,PSX,PHILLIPS 66,54048,170841
13407,FB,FACEBOOK INC,54084,170617
13447,NOW,SERVICENOW INC,54109,171007
13586,PNR,PENTAIR PLC,54185,8463
13641,FANG,DIAMONDBACK ENERGY INC,54222,170750
13721,ABBV,ABBVIE INC,54287,16101
13760,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,54313,104432
13788,ZTS,ZOETIS INC,54327,13721
13856,PEP,PEPSICO INC,21384,8479
13901,MO,ALTRIA GROUP INC,21398,8543
13911,IQV,IQVIA HOLDINGS INC,54401,17928
13928,COP,CONOCOPHILLIPS,21401,8549
13936,PVH,P V H CORP,21402,8551
